timestamp_utc,respondent,respondent_name,value_mwh,type_name,loaded_at
2026-06-16T07:00:00,PJM,"PJM Interconnection, LLC",80260,Demand,2026-06-19T15:16:40Z
2026-06-16T08:00:00,PJM,"PJM Interconnection, LLC",79331,Demand,2026-06-19T15:16:40Z
2026-06-16T09:00:00,PJM,"PJM Interconnection, LLC",79413,Demand,2026-06-19T15:16:40Z
2026-06-16T10:00:00,PJM,"PJM Interconnection, LLC",81124,Demand,2026-06-19T15:16:40Z
2026-06-16T11:00:00,PJM,"PJM Interconnection, LLC",83824,Demand,2026-06-19T15:16:40Z
2026-06-16T12:00:00,PJM,"PJM Interconnection, LLC",87063,Demand,2026-06-19T15:16:40Z
2026-06-16T13:00:00,PJM,"PJM Interconnection, LLC",88135,Demand,2026-06-19T15:16:40Z
2026-06-16T14:00:00,PJM,"PJM Interconnection, LLC",88633,Demand,2026-06-19T15:16:40Z
2026-06-16T15:00:00,PJM,"PJM Interconnection, LLC",90357,Demand,2026-06-19T15:16:40Z
2026-06-16T16:00:00,PJM,"PJM Interconnection, LLC",92122,Demand,2026-06-19T15:16:40Z
2026-06-16T17:00:00,PJM,"PJM Interconnection, LLC",94337,Demand,2026-06-19T15:16:40Z
2026-06-16T18:00:00,PJM,"PJM Interconnection, LLC",97099,Demand,2026-06-19T15:16:40Z
2026-06-16T19:00:00,PJM,"PJM Interconnection, LLC",99600,Demand,2026-06-19T15:16:40Z
2026-06-16T20:00:00,PJM,"PJM Interconnection, LLC",102221,Demand,2026-06-19T15:16:40Z
2026-06-16T21:00:00,PJM,"PJM Interconnection, LLC",105280,Demand,2026-06-19T15:16:40Z
2026-06-16T22:00:00,PJM,"PJM Interconnection, LLC",107466,Demand,2026-06-19T15:16:40Z
2026-06-16T23:00:00,PJM,"PJM Interconnection, LLC",107759,Demand,2026-06-19T15:16:40Z
2026-06-17T00:00:00,PJM,"PJM Interconnection, LLC",105813,Demand,2026-06-19T15:16:40Z
2026-06-17T01:00:00,PJM,"PJM Interconnection, LLC",102552,Demand,2026-06-19T15:16:40Z
2026-06-17T02:00:00,PJM,"PJM Interconnection, LLC",100208,Demand,2026-06-19T15:16:40Z
2026-06-17T03:00:00,PJM,"PJM Interconnection, LLC",95206,Demand,2026-06-19T15:16:40Z
2026-06-17T04:00:00,PJM,"PJM Interconnection, LLC",89913,Demand,2026-06-19T15:16:40Z
2026-06-17T05:00:00,PJM,"PJM Interconnection, LLC",85575,Demand,2026-06-19T15:16:40Z
2026-06-17T06:00:00,PJM,"PJM Interconnection, LLC",83240,Demand,2026-06-19T15:16:40Z
2026-06-17T07:00:00,PJM,"PJM Interconnection, LLC",81799,Demand,2026-06-19T15:16:40Z
2026-06-17T08:00:00,PJM,"PJM Interconnection, LLC",80538,Demand,2026-06-19T15:16:40Z
2026-06-17T09:00:00,PJM,"PJM Interconnection, LLC",80931,Demand,2026-06-19T15:16:40Z
2026-06-17T10:00:00,PJM,"PJM Interconnection, LLC",82500,Demand,2026-06-19T15:16:40Z
2026-06-17T11:00:00,PJM,"PJM Interconnection, LLC",85368,Demand,2026-06-19T15:16:40Z
2026-06-17T12:00:00,PJM,"PJM Interconnection, LLC",89321,Demand,2026-06-19T15:16:40Z
2026-06-17T13:00:00,PJM,"PJM Interconnection, LLC",93103,Demand,2026-06-19T15:16:40Z
2026-06-17T14:00:00,PJM,"PJM Interconnection, LLC",95078,Demand,2026-06-19T15:16:40Z
2026-06-17T15:00:00,PJM,"PJM Interconnection, LLC",97578,Demand,2026-06-19T15:16:40Z
2026-06-17T16:00:00,PJM,"PJM Interconnection, LLC",100716,Demand,2026-06-19T15:16:40Z
2026-06-17T17:00:00,PJM,"PJM Interconnection, LLC",104438,Demand,2026-06-19T15:16:40Z
2026-06-17T18:00:00,PJM,"PJM Interconnection, LLC",108603,Demand,2026-06-19T15:16:40Z
2026-06-17T19:00:00,PJM,"PJM Interconnection, LLC",110702,Demand,2026-06-19T15:16:40Z
2026-06-17T20:00:00,PJM,"PJM Interconnection, LLC",112563,Demand,2026-06-19T15:16:40Z
2026-06-17T21:00:00,PJM,"PJM Interconnection, LLC",113799,Demand,2026-06-19T15:16:40Z
2026-06-17T22:00:00,PJM,"PJM Interconnection, LLC",114801,Demand,2026-06-19T15:16:40Z
2026-06-17T23:00:00,PJM,"PJM Interconnection, LLC",114559,Demand,2026-06-19T15:16:40Z
2026-06-18T00:00:00,PJM,"PJM Interconnection, LLC",112283,Demand,2026-06-19T15:16:40Z
2026-06-18T01:00:00,PJM,"PJM Interconnection, LLC",109928,Demand,2026-06-19T15:16:40Z
2026-06-18T02:00:00,PJM,"PJM Interconnection, LLC",107772,Demand,2026-06-19T15:16:40Z
2026-06-18T03:00:00,PJM,"PJM Interconnection, LLC",102693,Demand,2026-06-19T15:16:40Z
2026-06-18T04:00:00,PJM,"PJM Interconnection, LLC",97422,Demand,2026-06-19T15:16:40Z
2026-06-18T05:00:00,PJM,"PJM Interconnection, LLC",94106,Demand,2026-06-19T15:16:40Z
2026-06-18T06:00:00,PJM,"PJM Interconnection, LLC",91967,Demand,2026-06-19T15:16:40Z
2026-06-18T07:00:00,PJM,"PJM Interconnection, LLC",89767,Demand,2026-06-19T15:16:40Z
2026-06-18T08:00:00,PJM,"PJM Interconnection, LLC",88330,Demand,2026-06-19T15:16:40Z
2026-06-18T09:00:00,PJM,"PJM Interconnection, LLC",88838,Demand,2026-06-19T15:16:40Z
2026-06-18T10:00:00,PJM,"PJM Interconnection, LLC",91357,Demand,2026-06-19T15:16:40Z
2026-06-18T11:00:00,PJM,"PJM Interconnection, LLC",95009,Demand,2026-06-19T15:16:40Z
2026-06-18T12:00:00,PJM,"PJM Interconnection, LLC",99773,Demand,2026-06-19T15:16:40Z
2026-06-18T13:00:00,PJM,"PJM Interconnection, LLC",103485,Demand,2026-06-19T15:16:40Z
2026-06-18T14:00:00,PJM,"PJM Interconnection, LLC",106018,Demand,2026-06-19T15:16:40Z
2026-06-18T15:00:00,PJM,"PJM Interconnection, LLC",106555,Demand,2026-06-19T15:16:40Z
2026-06-18T16:00:00,PJM,"PJM Interconnection, LLC",107631,Demand,2026-06-19T15:16:40Z
2026-06-18T17:00:00,PJM,"PJM Interconnection, LLC",109928,Demand,2026-06-19T15:16:40Z
2026-06-18T18:00:00,PJM,"PJM Interconnection, LLC",113348,Demand,2026-06-19T15:16:40Z
2026-06-18T19:00:00,PJM,"PJM Interconnection, LLC",116658,Demand,2026-06-19T15:16:40Z
2026-06-18T20:00:00,PJM,"PJM Interconnection, LLC",118768,Demand,2026-06-19T15:16:40Z
2026-06-18T21:00:00,PJM,"PJM Interconnection, LLC",120181,Demand,2026-06-19T15:16:40Z
2026-06-18T22:00:00,PJM,"PJM Interconnection, LLC",120795,Demand,2026-06-19T15:16:40Z
2026-06-18T23:00:00,PJM,"PJM Interconnection, LLC",119773,Demand,2026-06-19T15:16:40Z
2026-06-19T00:00:00,PJM,"PJM Interconnection, LLC",117461,Demand,2026-06-19T15:16:40Z
2026-06-19T01:00:00,PJM,"PJM Interconnection, LLC",114162,Demand,2026-06-19T15:16:40Z
2026-06-19T02:00:00,PJM,"PJM Interconnection, LLC",111137,Demand,2026-06-19T15:16:40Z
2026-06-19T03:00:00,PJM,"PJM Interconnection, LLC",105646,Demand,2026-06-19T15:16:40Z
2026-06-19T04:00:00,PJM,"PJM Interconnection, LLC",100379,Demand,2026-06-19T15:16:40Z
2026-06-19T05:00:00,PJM,"PJM Interconnection, LLC",95593,Demand,2026-06-19T15:16:40Z
2026-06-19T06:00:00,PJM,"PJM Interconnection, LLC",92080,Demand,2026-06-19T15:16:40Z
2026-06-19T07:00:00,PJM,"PJM Interconnection, LLC",89277,Demand,2026-06-19T15:16:40Z
2026-06-19T08:00:00,PJM,"PJM Interconnection, LLC",87089,Demand,2026-06-19T15:16:40Z
2026-06-19T09:00:00,PJM,"PJM Interconnection, LLC",86226,Demand,2026-06-19T15:16:40Z
2026-06-19T10:00:00,PJM,"PJM Interconnection, LLC",87417,Demand,2026-06-19T15:16:40Z
2026-06-19T11:00:00,PJM,"PJM Interconnection, LLC",89012,Demand,2026-06-19T15:16:40Z
2026-06-19T12:00:00,PJM,"PJM Interconnection, LLC",91359,Demand,2026-06-19T15:16:40Z
2026-06-19T13:00:00,PJM,"PJM Interconnection, LLC",93955,Demand,2026-06-19T15:16:40Z
2026-06-19T14:00:00,PJM,"PJM Interconnection, LLC",96294,Demand,2026-06-19T15:16:40Z
